accuracy,precision_macro,recall_macro,f1_macro,fold,train_rows,test_rows
0.32,0.3105011377928999,0.30722670250896056,0.2976922210964765,1,2000,200
0.32,0.33731481481481485,0.33265062297320364,0.31986752556683773,2,2200,200
0.355,0.36451595047414886,0.3609875628037229,0.3522490606548578,3,2400,200
0.365,0.3642608816576276,0.3559325300461775,0.34665978475929177,4,2600,200
0.375,0.34616812097761285,0.35944698883434995,0.3482100118408787,5,2800,200
0.315,0.3190993788819876,0.30848810687520367,0.2995114368198979,6,3000,200
0.35,0.3426835134152207,0.3422028705047573,0.34208754208754205,7,3200,200
0.34,0.28638105189829327,0.2529677113010446,0.26134882294302586,8,3400,200
0.425,0.344976821671737,0.35779837992227376,0.3431290955182475,9,3600,200
0.425,0.3038698955365622,0.36759883198562443,0.3283083781676222,10,3800,200
0.445,0.36475557965121536,0.37072872465818013,0.3571964543393114,11,4000,200
0.31,0.3135944933697743,0.3211264002339053,0.30266196060964673,12,4200,200
0.435,0.4200549725137432,0.4381101154713267,0.4222536428262833,13,4400,200
0.465,0.4262626262626263,0.4196172248803827,0.42038510911424903,14,4600,200
0.465,0.46803510337646886,0.45945491862830573,0.4396171252352918,15,4800,200
0.38,0.40077826996431654,0.3845238095238095,0.37422472677595625,16,5000,200
0.35,0.3448013974329764,0.3478022231446889,0.3459834368530021,17,5200,200
0.43,0.4011013496307614,0.38983585858585856,0.3802376446370171,18,5400,200
0.45,0.41583742057973666,0.40679329157405536,0.40941921038154955,19,5600,200
0.525,0.45859078283544014,0.44462796204956484,0.44518149990786804,20,5800,200
0.495,0.3644619683622241,0.362748171368861,0.3544426199598613,21,6000,200
0.44,0.3732214291316966,0.37890442890442894,0.35269503133306174,22,6200,200
0.475,0.37674538969587185,0.3840271538384746,0.37615687770150014,23,6400,200
0.51,0.4590939824205545,0.4210918419932334,0.3887580903131707,24,6600,200
0.455,0.3872392128971076,0.39496591935616326,0.3804002760524499,25,6800,200
0.36,0.34863968015992003,0.37968024068839484,0.32755102040816325,26,7000,200
0.39,0.38808336529855514,0.3851708851708852,0.3858081225745675,27,7200,200
0.385,0.35934189767861163,0.3648462021343377,0.35974878140232475,28,7400,200
0.36,0.36778637894135446,0.36922647694775756,0.36020080755642075,29,7600,200
0.385,0.34674603174603175,0.3496695835957122,0.33014354066985646,30,7800,200
0.385,0.3191679099998285,0.3226363653592595,0.31818405539335776,31,8000,200
0.45,0.41945091945091945,0.40696292012081486,0.40605392956878106,32,8200,200
0.49,0.39110019110019106,0.38740103087305383,0.383322559793148,33,8400,200
