accuracy,precision,recall,f1,roc_auc,fold,train_rows,test_rows
0.46,0.5714285714285714,0.3389830508474576,0.425531914893617,0.5016535758577925,1,2000,200
0.46,0.576271186440678,0.2905982905982906,0.38636363636363635,0.4801771187313356,2,2200,200
0.59,0.6310679611650486,0.5963302752293578,0.6132075471698113,0.6116544006452264,3,2400,200
0.52,0.5666666666666667,0.4722222222222222,0.5151515151515151,0.5122785829307568,4,2600,200
0.55,0.6153846153846154,0.5614035087719298,0.5871559633027523,0.528967768257854,5,2800,200
0.47,0.43478260869565216,0.5494505494505495,0.4854368932038835,0.48936384716201226,6,3000,200
0.56,0.5514018691588785,0.5959595959595959,0.5728155339805825,0.5642564256425642,7,3200,200
0.52,0.5630252100840336,0.6036036036036037,0.5826086956521739,0.5352768498835915,8,3400,200
0.45,0.45454545454545453,0.39215686274509803,0.42105263157894735,0.43447378951580634,9,3600,200
0.445,0.35714285714285715,0.5063291139240507,0.418848167539267,0.5303902081807721,10,3800,200
0.575,0.6382978723404256,0.5405405405405406,0.5853658536585366,0.5759692276546209,11,4000,200
0.5,0.4796747967479675,0.6210526315789474,0.5412844036697247,0.4984461152882205,12,4200,200
0.575,0.5555555555555556,0.5729166666666666,0.5641025641025641,0.5161258012820513,13,4400,200
0.56,0.5666666666666667,0.51,0.5368421052631579,0.5753999999999999,14,4600,200
0.595,0.5564516129032258,0.7263157894736842,0.6301369863013698,0.6451127819548872,15,4800,200
0.6,0.5789473684210527,0.7623762376237624,0.6581196581196581,0.6648664866486649,16,5000,200
0.505,0.4649122807017544,0.5824175824175825,0.5170731707317073,0.5209194475249521,17,5200,200
0.435,0.5,0.39823008849557523,0.4433497536945813,0.43281456616824326,18,5400,200
0.555,0.53125,0.5368421052631579,0.5340314136125655,0.5804511278195489,19,5600,200
0.575,0.6057692307692307,0.5887850467289719,0.5971563981042654,0.5469802029946738,20,5800,200
0.525,0.55,0.5238095238095238,0.5365853658536586,0.5401503759398496,21,6000,200
0.505,0.7166666666666667,0.344,0.4648648648648649,0.5031466666666666,22,6200,200
0.56,0.5765765765765766,0.6095238095238096,0.5925925925925926,0.5869674185463658,23,6400,200
0.47,0.42016806722689076,0.5747126436781609,0.4854368932038835,0.4758417251551216,24,6600,200
0.43,0.3770491803278688,0.5476190476190477,0.44660194174757284,0.41348522167487683,25,6800,200
0.515,0.4797297297297297,0.7802197802197802,0.5941422594142259,0.5205161810666398,26,7000,200
0.47,0.48598130841121495,0.5048543689320388,0.49523809523809526,0.4864377940146132,27,7200,200
0.51,0.5196078431372549,0.5196078431372549,0.5196078431372549,0.49289715886354546,28,7400,200
0.47,0.4645669291338583,0.6082474226804123,0.5267857142857143,0.4715243719347412,29,7600,200
0.505,0.5119047619047619,0.42574257425742573,0.4648648648648649,0.5341534153415342,30,7800,200
0.525,0.5773195876288659,0.509090909090909,0.5410628019323671,0.6018181818181819,31,8000,200
0.475,0.4375,0.45161290322580644,0.4444444444444444,0.438749874384484,32,8200,200
0.595,0.616822429906542,0.6226415094339622,0.6197183098591549,0.6194299478121236,33,8400,200
