accuracy,precision,recall,f1,roc_auc,fold,train_rows,test_rows
0.555,0.7307692307692307,0.456,0.5615763546798029,0.6112000000000001,1,2000,200
0.505,0.556390977443609,0.6491228070175439,0.5991902834008097,0.4804161566707466,2,2200,200
0.52,0.5070422535211268,0.7346938775510204,0.6,0.5058023209283713,3,2400,200
0.485,0.5714285714285714,0.5378151260504201,0.5541125541125541,0.4718331777155307,4,2600,200
0.53,0.5357142857142857,0.8490566037735849,0.656934306569343,0.5490766760337215,5,2800,200
0.46,0.4860335195530726,0.8446601941747572,0.6170212765957447,0.45340806726053445,6,3000,200
0.49,0.4713375796178344,0.7956989247311828,0.592,0.5830569791980705,7,3200,200
0.485,0.5567010309278351,0.47368421052631576,0.5118483412322274,0.4787841697266422,8,3400,200
0.505,0.5,0.6767676767676768,0.575107296137339,0.5221522152215221,9,3600,200
0.47,0.4057971014492754,0.7,0.5137614678899083,0.485,10,3800,200
0.56,0.5980392156862745,0.5648148148148148,0.580952380952381,0.5623993558776168,11,4000,200
0.495,0.47093023255813954,0.8901098901098901,0.6159695817490495,0.5473334005444097,12,4200,200
0.51,0.5131578947368421,0.7647058823529411,0.6141732283464567,0.4561824729891957,13,4400,200
0.46,0.4700854700854701,0.5445544554455446,0.5045871559633027,0.4680468046804681,14,4600,200
0.515,0.5060975609756098,0.8383838383838383,0.6311787072243346,0.49864986498649866,15,4800,200
0.51,0.48255813953488375,0.9021739130434783,0.6287878787878788,0.5770933977455717,16,5000,200
0.51,0.48554913294797686,0.9032258064516129,0.631578947368421,0.6168224299065421,17,5200,200
0.54,0.575,0.6272727272727273,0.6,0.5197979797979798,18,5400,200
0.565,0.546583850931677,0.8627450980392157,0.6692015209125475,0.5725290116046419,19,5600,200
0.525,0.5275590551181102,0.6568627450980392,0.5851528384279476,0.5377150860344138,20,5800,200
0.625,0.6781609195402298,0.5566037735849056,0.6113989637305699,0.6680048173424328,21,6000,200
0.395,0.5641025641025641,0.1746031746031746,0.26666666666666666,0.48927498927498925,22,6200,200
0.53,0.5508474576271186,0.6132075471698113,0.5803571428571429,0.5503813729425934,23,6400,200
0.465,0.432258064516129,0.7790697674418605,0.5560165975103735,0.5096899224806202,24,6600,200
0.505,0.4244604316546763,0.7564102564102564,0.543778801843318,0.5522278268179908,25,6800,200
0.465,0.4634146341463415,0.8,0.5868725868725869,0.5027568922305764,26,7000,200
0.47,0.488,0.5922330097087378,0.5350877192982456,0.45691122009808827,27,7200,200
0.5,0.5436893203883495,0.5137614678899083,0.5283018867924528,0.48946466377659037,28,7400,200
0.51,0.460431654676259,0.735632183908046,0.5663716814159292,0.5718645102227647,29,7600,200
0.475,0.5181818181818182,0.5229357798165137,0.5205479452054794,0.4749470712773466,30,7800,200
0.525,0.5245901639344263,0.6336633663366337,0.5739910313901345,0.5088508850885088,31,8000,200
0.505,0.5,0.7070707070707071,0.5857740585774058,0.5214521452145214,32,8200,200
0.52,0.5333333333333333,0.5436893203883495,0.5384615384615384,0.5264738264437994,33,8400,200
