accuracy,precision_macro,recall_macro,f1_macro,fold,train_rows,test_rows
0.45,0.39921413009648304,0.39869623655913977,0.3842847774950217,1,2000,200
0.325,0.3089416489487361,0.30655117483074473,0.3012319903073095,2,2200,200
0.33,0.33287374966207084,0.3232401229992038,0.28092425004189714,3,2400,200
0.35,0.289131255339015,0.32130715326441406,0.2688082211364055,4,2600,200
0.375,0.33846618357487923,0.3560674000899094,0.3194805194805195,5,2800,200
0.335,0.2272508591065292,0.3223905723905724,0.2663672441244267,6,3000,200
0.34,0.2962268084219304,0.30526633151735694,0.22984482027035216,7,3200,200
0.535,0.23523809523809525,0.30061728395061726,0.24996468926553672,8,3400,200
0.555,0.18686868686868685,0.3274336283185841,0.23794212218649516,9,3600,200
0.575,0.42810457516339867,0.4045035938903863,0.3569059058077589,10,3800,200
0.5,0.436036036036036,0.35011197548326267,0.28848358848358846,11,4000,200
0.33,0.35217330243662665,0.34893463443159184,0.28302006420440284,12,4200,200
0.39,0.5234496124031008,0.37244595507032424,0.31188307328463055,13,4400,200
0.46,0.348063973063973,0.33933014354066987,0.2719013197959768,14,4600,200
0.445,0.2984764028242289,0.42792792792792794,0.34730329790949455,15,4800,200
0.295,0.33534571723426215,0.3172619047619048,0.2821728373112879,16,5000,200
0.385,0.38171106132271176,0.39375835985425023,0.34017491888841866,17,5200,200
0.445,0.28334139654894375,0.3584280303030303,0.2968174731077133,18,5400,200
0.495,0.3666428117048346,0.3966444399541995,0.35122710165432164,19,5600,200
0.565,0.44468810916179335,0.4218546842240222,0.40771040376398293,20,5800,200
0.58,0.47200772200772195,0.36306165099268545,0.32369769613271665,21,6000,200
0.65,0.45856389986824775,0.3590617715617716,0.32545379282550296,22,6200,200
0.5,0.3793911007025761,0.3351744890828449,0.27716473505576783,23,6400,200
0.545,0.33001498608435026,0.3475835181824292,0.3045541924434658,24,6600,200
0.525,0.49166666666666664,0.4176439188634311,0.36003439589654235,25,6800,200
0.335,0.29078879278480074,0.30831276457666373,0.22851143539079732,26,7000,200
0.41,0.37839157245632066,0.3874588874588874,0.3423149468548074,27,7200,200
0.395,0.3429653679653679,0.33978865871521235,0.27063503217536106,28,7400,200
0.35,0.35958810692853244,0.3773104554648811,0.3358813930556646,29,7600,200
0.42,0.36319444444444443,0.35393640660398523,0.30571712805735657,30,7800,200
0.45,0.2836315354142179,0.32189859675056925,0.2828698068808828,31,8000,200
0.445,0.3538715619640475,0.3457361352098194,0.28312978101710495,32,8200,200
0.54,0.3886548064918851,0.3625236905963831,0.316936371556886,33,8400,200
