accuracy,precision,recall,f1,roc_auc,fold,train_rows,test_rows
0.515,0.6438356164383562,0.3983050847457627,0.49214659685863876,0.5551880942538239,1,2000,200
0.545,0.6,0.6666666666666666,0.631578947368421,0.484708063021316,2,2200,200
0.56,0.5704697986577181,0.7798165137614679,0.6589147286821705,0.5743522532513359,3,2400,200
0.495,0.5275590551181102,0.6203703703703703,0.5702127659574469,0.44333735909822863,4,2600,200
0.545,0.5688622754491018,0.8333333333333334,0.6761565836298933,0.47307221542227657,5,2800,200
0.475,0.4602272727272727,0.8901098901098901,0.6067415730337079,0.47454380481903413,6,3000,200
0.49,0.4909090909090909,0.8181818181818182,0.6136363636363636,0.5483548354835484,7,3200,200
0.485,0.5357142857142857,0.5405405405405406,0.5381165919282511,0.4804129972669299,8,3400,200
0.475,0.4896551724137931,0.696078431372549,0.5748987854251012,0.5359143657462986,9,3600,200
0.515,0.4375,0.7974683544303798,0.5650224215246636,0.5311225023538027,10,3800,200
0.51,0.5631067961165048,0.5225225225225225,0.5420560747663551,0.5137159631541655,11,4000,200
0.51,0.49056603773584906,0.8210526315789474,0.6141732283464567,0.5312280701754385,12,4200,200
0.47,0.46835443037974683,0.7708333333333334,0.5826771653543307,0.47085336538461536,13,4400,200
0.43,0.44696969696969696,0.59,0.5086206896551724,0.4334,14,4600,200
0.525,0.5,0.8947368421052632,0.6415094339622641,0.5491729323308271,15,4800,200
0.53,0.5207100591715976,0.8712871287128713,0.6518518518518519,0.5221522152215221,16,5000,200
0.5,0.4742857142857143,0.9120879120879121,0.6240601503759399,0.5892731122088921,17,5200,200
0.53,0.5664335664335665,0.7168141592920354,0.6328125,0.4835723731054827,18,5400,200
0.47,0.46745562130177515,0.8315789473684211,0.5984848484848485,0.5481704260651629,19,5600,200
0.58,0.5688622754491018,0.8878504672897196,0.6934306569343066,0.6124007637423374,20,5800,200
0.56,0.6049382716049383,0.4666666666666667,0.5268817204301075,0.6037092731829574,21,6000,200
0.42,0.5818181818181818,0.256,0.35555555555555557,0.5178666666666667,22,6200,200
0.495,0.5158730158730159,0.6190476190476191,0.5627705627705628,0.4917293233082707,23,6400,200
0.405,0.4069767441860465,0.8045977011494253,0.5405405405405406,0.520089512765741,24,6600,200
0.455,0.4125874125874126,0.7023809523809523,0.5198237885462555,0.5544950738916256,25,6800,200
0.425,0.425,0.7472527472527473,0.5418326693227091,0.5585240447625768,26,7000,200
0.49,0.5036496350364964,0.6699029126213593,0.575,0.507456711039936,27,7200,200
0.525,0.5315315315315315,0.5784313725490197,0.5539906103286385,0.5287114845938377,28,7400,200
0.51,0.49586776859504134,0.6185567010309279,0.5504587155963303,0.5444900410369333,29,7600,200
0.495,0.5,0.5841584158415841,0.5388127853881278,0.5024502450245024,30,7800,200
0.55,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5392929292929293,31,8000,200
0.44,0.43448275862068964,0.6774193548387096,0.5294117647058824,0.4912069138780023,32,8200,200
0.585,0.5950413223140496,0.6792452830188679,0.6343612334801763,0.6059815335206744,33,8400,200
